# Transcripción: chunk_024.mp3
# Modelo: medium | Duración audio: 0:59:59

[0:00:00]  The others, 5,000.
[0:06:37]  78% is correct.
[0:06:39]  You can use the star operator to essentially multiply
[0:06:41]  a character at left.
[0:06:43]  All right, who's in the lead, Carter?
[0:06:45]  We now have still guest 8444.
[0:06:48]  And so we move on now to 15.
[0:06:50]  What does the free function do?
[0:06:54]  Deallocates memory from a primitive, deallocates memory at the given pointer,
[0:06:58]  terminates a loop, or returns a value from the function.
[0:07:01]  What does the free function do?
[0:07:08]  Five seconds.
[0:07:10]  What does the free function do?
[0:07:12]  Calls the opposite, essentially, of malloc.
[0:07:14]  And it deallocates the memory at the given pointer as well.
[0:07:18]  And in C, that's on you.
[0:07:20]  In Python, you don't need to worry about allocating or freeing a life.
[0:07:24]  All right, we now have at the top, still guest 8444.
[0:07:28]  And seeing more and more spread.
[0:07:30]  16, which is not a step of compiling?
[0:07:35]  Think back now to week two, compiling, preprocessing, linking, or threading.
[0:07:41]  Which is not a step of compiling?
[0:07:46]  We use it as a catch-all, but it technically
[0:07:48]  means a few different things collectively.
[0:07:55]  All right, and threading is indeed not on the list.
[0:07:58]  That is a technical thing.
[0:08:00]  Generally meaning a program can do multiple things at once,
[0:08:03]  but that is not related here to compiling.
[0:08:07]  All right, guest 8444 is still at the top.
[0:08:10]  We have just a few questions left.
[0:08:11]  And so 17, what was the surprise at the beginning of the Halloween lecture?
[0:08:16]  According to your classmates, someone scared me.
[0:08:19]  Someone hid candy under every chair.
[0:08:21]  Someone dressed up as me.
[0:08:23]  The entire staff dressed up as Carter.
[0:08:29]  Interesting litmus test of who came to or watched lecture, perhaps.
[0:08:35]  Let's see which guests got this correct.
[0:08:38]  Someone, someone's really dressed up as indeed me at 64%.
[0:08:42]  So I think we have attendance here, essentially, from that lecture.
[0:08:45]  So let's move on now to the final few questions
[0:08:48]  after seeing that guest 8444 is still doing well.
[0:08:52]  Can anyone dethrone them?
[0:08:54]  Why is it incorrect to use the equals equals operator in C
[0:08:57]  to compare strings?
[0:09:00]  It's computationally inefficient.
[0:09:02]  You're comparing the locations of the strings.
[0:09:04]  Strings don't exist.
[0:09:05]  Using equal equals will lead to buffer overflow.
[0:09:12]  Why is it incorrect to use equal equals in C to compare strings?
[0:09:16]  Three seconds.
[0:09:17]  We saw this live, and it motivated like an entire week
[0:09:20]  because you're comparing the locations.
[0:09:22]  That is, the addresses in memory of those same strings.
[0:09:25]  All right, let's see if this leaves the rankings the same.
[0:09:29]  Guest 8444 is still at the top.
[0:09:31]  And pulling ahead, two final questions.
[0:09:33]  19, what is the difference between null 1L and null 2L?
[0:09:41]  Null and null mean the same thing.
[0:09:43]  Nulls refers to backslash 0, whereas null 2L is the 0 address.
[0:09:47]  Null is the 0 address, whereas null 2L refers to backslash 0.
[0:09:51]  Null is null but lazier.
[0:09:55]  Five seconds.
[0:09:57]  Subtle, not the best design, perhaps, to have in technical terms.
[0:10:01]  But indeed, 62% of you got that N-U-L is the first thing
[0:10:05]  we talked about when we talked about backslash 0.
[0:10:07]  And N-U-L-L is a pointer.
[0:10:09]  It's the 0 pointer.
[0:10:11]  Same number, but different context.
[0:10:13]  All right, Carter, guest 8444 is the person
[0:10:17]  to beat with our final 20th questions.
[0:10:21]  What do the binary bulbs on stage spell today?
[0:10:28]  And these are your four choices.
[0:10:31]  Different from usual, we usually use 8-bit ASCII.
[0:10:34]  Today we are using UTF-8, which is a form of Unicode,
[0:10:39]  which is the larger subset that uses one or two or three or even four
[0:10:43]  bytes to spell a single character.
[0:10:47]  And the answer, wow, close, is indeed a cupcake.
[0:10:52]  Indeed a cupcake.
[0:10:53]  Well done.
[0:10:54]  And let's see the final results.
[0:10:56]  8444 is the winner.
[0:10:58]  Are they here in person, perhaps?
[0:11:00]  8444?
[0:11:02]  You're 8444?
[0:11:03]  Come on down.
[0:11:11]  Thank you.
[0:11:11]  There you go.
[0:11:12]  Congratulations.
[0:11:14]  You're too high.
[0:11:15]  Oh, you are.
[0:11:16]  All right, so today, if we may, give me just one moment.
[0:11:32]  All right.
[0:11:43]  All right.
[0:11:43]  So today, we are so pleased to be joined by Jennifer 8 Lee, who's
[0:11:48]  an alumna of the college, a dear friend, and is actually really the reason why
[0:11:53]  there's evidence of Muppets in CS50.
[0:11:55]  In fact, some years ago, I was visiting her.
[0:11:58]  And she had on her shelf this custom Muppet.
[0:12:00]  It wasn't one that appears on TV.
[0:12:02]  But she had somehow gone on a website, a former toy store called FAO Schwartz
[0:12:06]  at the time.
[0:12:06]  And you're allowed to configure your own Muppet whatnot.
[0:12:09]  Choose the eyes, the nose, the face, and the torso.
[0:12:11]  And I just thought this was the coolest thing.
[0:12:13]  So in the taxi on the way home, I was going on the website,
[0:12:16]  trying to purchase our very first Muppet.
[0:12:18]  I then sort of woke up the next morning thinking,
[0:12:20]  why did I just buy a puppet in the back of a taxi?
[0:12:22]  And so it sat on the shelf for really two years.
[0:12:25]  And then a colleague of mine within CS50's team
[0:12:27]  decided, after I brought it into the office to sit on a shelf there,
[0:12:30]  to actually bring it to life.
[0:12:31]  And indeed, if you Google around CS50 Muppetry and Puppetry Online,
[0:12:35]  you'll see, in fact, these as characters,
[0:12:37]  not only over the past couple of years in COVID times,
[0:12:39]  when really there was next to no one actually here.
[0:12:42]  And so they were instead.
[0:12:43]  But indeed, she's brought not only this educational element,
[0:12:47]  this pedagogical element, this playful element to CS50.
[0:12:50]  And we have her here today to speak to exactly the sorts of encodings
[0:12:54]  that are here on stage.
[0:12:55]  Jenny is the former vice chair of the Unicode Subcommittee on Emoji,
[0:12:59]  which is to say that she and her colleagues
[0:13:01]  have been influential in taking emoji from what was a very limited character
[0:13:05]  set early on and by far unrepresentative of much human emotion in speech
[0:13:11]  into really an initiative now to capture digitally
[0:13:13]  all of the world's languages, past, present, and future,
[0:13:17]  as well as the range of emotions that we might see here
[0:13:19]  in the form of that pillow or even in the cake that awaits.
[0:13:22]  So allow me to introduce Jennifer Eight-Lee.
[0:13:26]  Thank you.
[0:13:26]  I have much drink.
[0:13:31]  OK.
[0:13:32]  Clicker.
[0:13:33]  Hi.
[0:13:33]  All right, hold on.
[0:13:34]  I have to hide my drinks.
[0:13:36]  I might need more water.
[0:13:37]  All right.
[0:13:38]  I'm really excited to speak here.
[0:13:42]  Last year, I was here.
[0:13:43]  One, I was wearing a mask, which is like a real bummer of your lecturing.
[0:13:46]  And then the entire front part was all Muppets.
[0:13:49]  So I'm really happy to see humans, actually.
[0:13:52]  And it's always an honor to speak at Sanders.
[0:13:55]  And then Dave and I were actually classmates way back when.
[0:13:58]  So I do remember him when he was an undergrad, much like you.
[0:14:01]  So I am going to give a talk on the world of emoji
[0:14:05]  and how I kind of became an emoji activist.
[0:14:07]  So it kind of all starts with my friend Ying Liu, who
[0:14:12]  is a designer, who is well known for doing the Twitter Fail Whale, which
[0:14:16]  was kind of laid to rest, except now this week it seems like it
[0:14:20]  may be necessary again.
[0:14:23]  So she and I one day were texting.
[0:14:25]  This is back in 2015.
[0:14:26]  We were texting about dumplings because we are Chinese-ish women
[0:14:30]  and we like to text about food.
[0:14:32]  And so I sent her this picture of dumplings.
[0:14:34]  She was like, yum, yum, yum, yum, yum, yum, yum, yum.
[0:14:37]  And then she was like, oh, Apple doesn't have a dumpling emoji.
[0:14:42]  And I was like, oh, that's kind of interesting.
[0:14:44]  I didn't really think anything about it
[0:14:46]  because people point things out to you all the time
[0:14:49]  and then you just forget and move on.
[0:14:52]  But then half an hour later, on my phone
[0:14:54]  appears this dumpling with heart eyes.
[0:14:57]  And you don't see it because it's a still shot,
[0:15:00]  but it actually had blinking eyes.
[0:15:01]  So she liked to call it bling, bling, dumpling.
[0:15:03]  So she, as a designer, had decided
[0:15:05]  to go in and make her own dumpling emoji
[0:15:09]  because she was like, I'm a designer.
[0:15:10]  I can fix it.
[0:15:11]  But that actually got me thinking.
[0:15:12]  I was like, where do emoji come from?
[0:15:15]  And how is there not a dumpling emoji?
[0:15:17]  Because from my perspective, dumplings
[0:15:19]  are this kind of universal food.
[0:15:22]  And there are a lot of Japanese foods on the emoji keyboard.
[0:15:29]  And I was not, this was back in 2015,
[0:15:31]  I was not a big emoji user at all.
[0:15:34]  You have things like ramen.
[0:15:35]  You have bento boxes.
[0:15:37]  You have curry.
[0:15:38]  You have tempura.
[0:15:39]  You even have like kind of obscure kind of foods
[0:15:43]  like this thing.
[0:15:44]  Things on a stick turns out to be fish things on a stick.
[0:15:47]  Then this pink and white swirly thing is also a fish thing.
[0:15:52]  And there's even like that triangle rice ball
[0:15:54]  that looks like it's had a bikini wax, all well
[0:15:56]  represented on the emoji keyboard, but no dumplings.
[0:15:59]  And it's very strange because like all cultures kind of have
[0:16:02]  their dumpling, right, whether or not it's
[0:16:05]  kinkali or ravioli or empanadas.
[0:16:07]  Like essentially, everyone sort of like
[0:16:09]  discover the idea of like yummy goodness
[0:16:12]  inside a carbohydrate shell, whether or not
[0:16:15]  baked or fried or steamed.
[0:16:18]  So I was like, OK.
[0:16:21]  I literally Googled, I was like, who controls emoji?
[0:16:24]  And you discover that they're actually
[0:16:25]  regulated by a nonprofit called the Unicode Consortium.
[0:16:29]  And it is, you know, and I just like went on their website
[0:16:33]  and I discovered that they had 12 full voting members
[0:16:36]  as of 2015.
[0:16:37]  So this is 2015.
[0:16:38]  And they were like mostly US multinational tech companies.
[0:16:41]  It was Oracle, it was IBM, Microsoft, Adobe, Google,
[0:16:45]  Apple, Facebook, and Yahoo.
[0:16:47]  And of the three that were not multinational US tech
[0:16:51]  companies, they were, let's see, a German company called SAP,
[0:16:55]  a Chinese telecom company called Huawei,
[0:16:58]  and then like the government of Oman.
[0:17:00]  Like those were basically the 12 full voting members
[0:17:03]  of US multinational tech companies.
[0:17:05]  So they at that point paid $18,000 a year
[0:17:11]  to have full voting power on the Unicode committee.
[0:17:14]  And I was like, oh, that's a lot of money.
[0:17:17]  And I kind of felt indignant about this.
[0:17:20]  But then like if you kind of keep on digging on their website,
[0:17:23]  you found like there was this kind of interesting loophole,
[0:17:25]  which is you could join as an individual for $75.
[0:17:30]  You don't get voting power.
[0:17:31]  But it gave you the right to put yourself on the email list
[0:17:35]  and also to like attend the quarterly Unicode meeting.
[0:17:38]  So I was like, I'll do that.
[0:17:39]  I had no idea what I was doing.
[0:17:40]  But I'm like, I'm going to go fight for this dumpling emoji.
[0:17:43]  Because from my perspective, dumplings are universal.
[0:17:46]  Emoji are kind of universal.
[0:17:48]  So the fact there was no dumpling emoji
[0:17:51]  meant like something was wrong in the universe.
[0:17:53]  And I was determined to fix this.
[0:17:55]  So I was on this email list.
[0:17:58]  And then a couple of like maybe even like a couple weeks later,
[0:18:02]  they kind of sent out this note that's like, hey,
[0:18:04]  who's coming to the quarterly meeting?
[0:18:06]  And I was like, I looked at the calendar.
[0:18:08]  I looked at my schedule.
[0:18:09]  I was like, oh, I'll be in like Silicon Valley at that time.
[0:18:13]  So I basically RSVP'd.
[0:18:16]  And I was like, I will be there.
[0:18:17]  And took Caltrain to an Apple building.
[0:18:21]  It's a legal building in, I think, with Sunnyvale.
[0:18:23]  So I just like show up.
[0:18:24]  And I don't know what I was sort of expecting
[0:18:27]  with the Unicode.
[0:18:28]  I think I maybe thought it was going to be like a baby
[0:18:30]  congress, like with the little very formal seats,
[0:18:32]  people with gavels.
[0:18:34]  That is not what I found.
[0:18:35]  Basically, it was a conference room full of people
[0:18:38]  who skewed whiter, skewed older, skewed males,
[0:18:41]  skewed engineers.
[0:18:42]  And this is basically the room where it happened.
[0:18:44]  So this is 2015.
[0:18:46]  These were the people who decided your emoji.
[0:18:49]  All very nice.
[0:18:50]  And one even had a daughter who had a sense of humor
[0:18:54]  and made him a shirt that said shadowy emoji overlord.
[0:18:58]  So I just kind of listened to them debate things
[0:19:01]  like milk emoji and beans emoji.
[0:19:03]  And it just seemed like not quite right to me
[0:19:06]  that it would be this global visual language
[0:19:10]  that were basically decided by a small group of people
[0:19:14]  inside a conference room in Silicon Valley.
[0:19:16]  So I decided to form a group called Emoji Nation
[0:19:19]  whose motto is emoji by the people for the people.
[0:19:22]  And it basically advocates for more kind
[0:19:24]  of representative, inclusive emoji.
[0:19:28]  We started with a Kickstarter campaign, a dumpling emoji
[0:19:32]  process, trying to write the wrong in this world,
[0:19:35]  and made this little cute video sort of advocating.
[0:19:38]  Dumplings are one of the most universal cross-cultural foods
[0:19:41]  in the world.
[0:19:42]  Georgia has kinkali, Japan has gyoza, Korea has mandu,
[0:19:46]  Italy has ravioli, Poland has barogi,
[0:19:48]  Russia has palmeni, Argentina has empanadas,
[0:19:51]  Jewish people have krepler, China has pot stickers,
[0:19:54]  Nepal and Tibet have momos.
[0:19:57]  Yet somehow, despite their popularity,
[0:19:59]  there is no dumpling emoji in the standard set.
[0:20:02]  Why is that?
[0:20:03]  Emoji exists for pizza, tempura, sushi, spaghetti,
[0:20:06]  hot dog, and now tacos, which Taco Bell takes credit for.
[0:20:10]  We need to write this disparity.
[0:20:12]  Dumplings are global, emoji are global.
[0:20:15]  Isn't it time we brought them together?
[0:20:19]  Oh yeah, oh wow, we're at it.
[0:20:20]  How about an emoji for Chinese takeout?
[0:20:26]  I did put together a dumpling emoji proposal.
[0:20:28]  I wrote this, I remember Thanksgiving Day, 2015,
[0:20:31]  on a plane, and we got it passed.
[0:20:35]  Basically, dumpling, takeout box, chopsticks,
[0:20:38]  and fortune cookie.
[0:20:40]  I have to say, I don't think fortune cookie
[0:20:42]  would have made it on its own merits,
[0:20:44]  but it kind of like slid in on the coattails
[0:20:46]  of the other ones, and so these were the proposals
[0:20:49]  as we submitted them, and then these are the ones
[0:20:51]  that kind of exist now on the Apple keyboard.
[0:20:54]  And I have to say, the dumpling looks really,
[0:20:56]  really realistic, oddly realistic,
[0:20:59]  whereas the fortune cookie I think is a big fail,
[0:21:01]  because first of all, it looks like a dead 3D Pac-Man,
[0:21:06]  so I'm very disappointed in the manifestation of that,
[0:21:11]  but that's okay, that's okay.
[0:21:12]  And so it's kind of interesting,
[0:21:14]  what is the process of getting an emoji passed?
[0:21:18]  And I will sort of walk you through it.
[0:21:20]  So first of all, you come up with your idea, right,
[0:21:23]  and then you kind of write this proposal,
[0:21:26]  and then you submit it to the Unicode Emoji Subcommittee,
[0:21:29]  who then kind of gives you comments
[0:21:30]  and then sends it back to you,
[0:21:31]  and you kind of go around and around in a circle,
[0:21:34]  and when, so these are things that we consider.
[0:21:38]  So somewhere in there, I also fought my way
[0:21:40]  onto the Emojis Committee, and then also became a vice chair,
[0:21:44]  sort of a extracurricular,
[0:21:46]  just like completely run amok in my life.
[0:21:48]  So things that matter, popular demand
[0:21:52]  is a frequently requested emoji,
[0:21:55]  multiple usages and meanings,
[0:21:57]  so that's actually kind of very important
[0:21:59]  for something like, you know,
[0:22:00]  certain animals have meanings,
[0:22:02]  so we did sloth a while ago,
[0:22:06]  and it also has not only literal meaning,
[0:22:08]  but sort of like connotations.
[0:22:11]  There are visually distinctness that can be recognized,
[0:22:14]  so this was a blocker for one of the emoji
[0:22:18]  that I have worked on before, which is cave,
[0:22:21]  which is kind of hard to do.
[0:22:22]  I think, you know, meaning-wise, it's pretty good,
[0:22:24]  but it's really hard to get a cave down in emoji sizes,
[0:22:27]  and then it filling a gap, completeness.
[0:22:29]  So a good example for that is like,
[0:22:31]  for some reason, for many years,
[0:22:33]  we had red heart, yellow heart, green heart,
[0:22:35]  blue heart, purple heart, and no orange heart,
[0:22:38]  so you know, you would do the rainbow,
[0:22:42]  but people would substitute the pumpkin in,
[0:22:43]  so you would like, you know, have a rainbow heart thing
[0:22:45]  with a little pumpkin stuck in the middle,
[0:22:47]  so orange heart obviously should be added
[0:22:51]  and give a sense of completeness.
[0:22:53]  And then something else is existing vendor compatibility,
[0:22:56]  and so a good example for that was many years ago,
[0:23:01]  WhatsApp decided to add the gender non-binary emoji,
[0:23:05]  and then once it did that,
[0:23:07]  then all the other kind of vendors jumped on.
[0:23:11]  So what kind of knocks out an emoji?
[0:23:14]  So too specific or narrow, so we'll often see that
[0:23:18]  with like very specific animals or a very specific group.
[0:23:21]  It's redundant, so one year, oh my God, who makes it?
[0:23:25]  Butterball, Butterball makes the turkeys.
[0:23:27]  Butterball submitted an emoji proposal
[0:23:30]  that was like a cooked turkey,
[0:23:32]  but we already had a live turkey,
[0:23:33]  so it seemed kind of redundant,
[0:23:34]  and both like a cooked turkey
[0:23:35]  for Thanksgiving and a live turkey.
[0:23:37]  So not visually discernible.
[0:23:41]  This is a struggle for things like, I don't know,
[0:23:42]  my friends have kind of proposed kimchi.
[0:23:48]  Kimchi is really hard on emoji sizes for many reasons,
[0:23:50]  and part of that tension
[0:23:52]  is because it's not visually discernible.
[0:23:54]  Then there are no logos, brands, deities, or celebrities,
[0:23:57]  so no Nike Swoosh, no McDonald's M,
[0:24:00]  and then this is one that we kind of decided
[0:24:01]  in the last year or so, which is no more flags.
[0:24:04]  Flags are a very complicated thing,
[0:24:07]  and as a result, Unicode does not want to be in the business
[0:24:09]  of deciding what is a country or not a country.
[0:24:12]  So like when you get a proposal from like Kurdistan,
[0:24:15]  you're like, so right now,
[0:24:17]  the way that the emoji flags are decided
[0:24:19]  is they kind of depend on what the UN recognizes,
[0:24:22]  and then those get passed down
[0:24:23]  to the International Standards Organization,
[0:24:25]  and then Unicode just does that.
[0:24:26]  Like it does not want to be in the business
[0:24:29]  of kind of geopolitical affairs.
[0:24:33]  So once it comes out of the subcommittee,
[0:24:35]  it goes to the full Unicode Technical Committee, UTC.
[0:24:38]  Those are the people that were in the room that I showed you,
[0:24:42]  and they vote once a year, basically,
[0:24:45]  to pass all the emoji, and it takes a while.
[0:24:48]  There's a lot of like coordinating
[0:24:50]  with the International Standards Organization,
[0:24:52]  and like a lot of working with the companies,
[0:24:54]  and eventually, it takes a long time,
[0:24:56]  but it ends up on your devices,
[0:24:58]  and that historically has taken about 18 to 24 months
[0:25:01]  from when you put in a proposal to when you get it in.
[0:25:03]  It's gonna be a little bit longer going forward, probably,
[0:25:06]  is my sense as we're gonna,
[0:25:09]  Unicode has decided to sort of space out
[0:25:11]  some of the Unicode releases.
[0:25:13]  So emoji nation, you know, kind of has done its thing.
[0:25:17]  So one of the weird things is like,
[0:25:18]  how did Unicode, this like kind of nonprofit organization
[0:25:21]  based in Mountain View, California,
[0:25:23]  end up controlling this like global visual language?
[0:25:26]  So a lot of it has to start with,
[0:25:29]  has to do with the fact that emoji started in Japan
[0:25:32]  back in the late 1990s.
[0:25:33]  One of the, this set from Docomo in 1999
[0:25:37]  is considered, is widely considered
[0:25:39]  sort of like the first like color emoji set.
[0:25:42]  It has been collected by the Museum of Modern Art.
[0:25:44]  And so these, the Japanese telecom companies would use,
[0:25:48]  basically would have their own sets of emoji,
[0:25:50]  and then there were different companies,
[0:25:52]  so they would have different sets.
[0:25:53]  So you could basically only send these like visual characters
[0:25:56]  with someone who was on your same carrier.
[0:25:58]  So it's like, it's like basically equivalent of,
[0:26:01]  if you were on like Verizon,
[0:26:02]  you could only text people on Verizon with like emoji,
[0:26:05]  or if you were on T-Mobile, you could only do that.
[0:26:09]  So at a certain point, they decided they were,
[0:26:13]  the Apple and Google came into Japan,
[0:26:16]  they wanted to start selling smartphones,
[0:26:18]  and they realized that it was a hodgepodge of systems,
[0:26:21]  and they wanted to unify it.
[0:26:23]  And so in 2007, they went to Unicode,
[0:26:26]  and they're like, okay, help us unify the emoji,
[0:26:30]  like kind of like basically all the emojis
[0:26:33]  so that we have one standard system.
[0:26:35]  And part of the reason is why Unicode?
[0:26:38]  Because Unicode basically has this mission
[0:26:40]  is to enable everyone speaking every language on Earth
[0:26:43]  to be able to use your languages
[0:26:44]  on computer and smartphone.
[0:26:45]  So it basically unifies all written languages
[0:26:48]  into one ginormous set.
[0:26:51]  And that was not the case actually when I was growing up.
[0:26:54]  There was a point where like,
[0:26:56]  if you were Japanese on Apple,
[0:26:57]  that would be different than Japanese on DOS,
[0:27:00]  or like Chinese or Arabic.
[0:27:02]  So it drove everyone crazy,
[0:27:04]  and they basically decided around the late 80s
[0:27:07]  or early 1990s that they were gonna come up
[0:27:09]  with one standardized system
[0:27:11]  that sort of encoded all characters in one ginormous set.
[0:27:16]  So there's three main projects for Unicode if you care.
[0:27:19]  So one is encoding characters, including emoji.
[0:27:22]  Now there are about 100,000 characters assigned.
[0:27:25]  So that includes like Chinese, Japanese,
[0:27:28]  Korean, Arabic, Cyrillic,
[0:27:32]  actually all the hieroglyphics, all of the emoji.
[0:27:35]  A lot of things like the Bitcoin symbol
[0:27:37]  or like copy left or whatever.
[0:27:39]  Those all assigned were about 100,000 characters,
[0:27:42]  even those languages that are basically out of use.
[0:27:45]  So the other thing it does,
[0:27:47]  it creates localization resources.
[0:27:50]  So things so that you know like,
[0:27:52]  oh, if you're in this country,
[0:27:54]  you're using a euro or you're using the pesos or something.
[0:27:59]  So there's a lot of localization that is needed
[0:28:03]  depending on which geography you're using your device from
[0:28:07]  or like that you know that the time is used this way
[0:28:10]  or dates are shown that way.
[0:28:11]  So that is called the Common Locale Data Repository
[0:28:15]  or CLDR as they call it.
[0:28:16]  And the other thing they do is they kind of maintain
[0:28:18]  libraries for developers in order to do all to kind of,
[0:28:23]  so they are not building everything from scratch
[0:28:24]  and that is called ICU.
[0:28:26]  So it's very funny because like, it's called CLDR.
[0:28:28]  And then one day, one of our friends' girlfriends
[0:28:32]  made him this thing, which she called a seal deer
[0:28:37]  because whenever he talked about CLDR,
[0:28:39]  she thought he was talking about seal deers.
[0:28:43]  So now this is his little like mascot
[0:28:45]  for like Unicode related things.
[0:28:47]  So how does Unicode do this?
[0:28:50]  So it basically signs code points
[0:28:52]  and each code point is a unique number
[0:28:54]  assigned to each Unicode character.
[0:28:56]  So face with tears of joy can be written like this
[0:29:02]  with a code point or it can be written like this
[0:29:04]  in terms of decimal numbers
[0:29:05]  and it can also be written this in binary numbers.
[0:29:07]  So these are all basically the same.
[0:29:09]  And the key thing to know at least about Emoji
[0:29:12]  is that when your device,
[0:29:13]  if you're talking your iPhone with someone
[0:29:16]  who's on a laptop or an iPad or like an Android device,
[0:29:19]  it's not sending the images back and forth,
[0:29:21]  it's sending just a number back and forth.
[0:29:23]  And then locally, your phone or like your laptop decides
[0:29:27]  like, oh, this number correlates with which image
[0:29:31]  in terms of our Emoji font and then pulls it up.
[0:29:33]  So this is really key to know why different Emoji
[0:29:38]  look different on different platforms.
[0:29:40]  So 2007 to 2010, it took about three years,
[0:29:43]  but Unicode 6.0 came out
[0:29:45]  with our first little baby set of Emoji.
[0:29:47]  And it just kind of hung out there for a year,
[0:29:50]  like no one, it wasn't doing anything.
