# Transcripción: chunk_016.mp3
# Modelo: medium | Duración audio: 0:59:59

[0:00:00]  Structured query language.
[0:06:07]  And I'm going to go ahead and now create a file called, how about favorites.py,
[0:06:12]  so that I can start writing some code to manipulate this data.
[0:06:14]  And let's do something simple.
[0:06:16]  Let's just write a simple program in Python that opens this file,
[0:06:19]  reads it, and prints something out, just as like a safety check
[0:06:22]  that I know what I'm doing, even though it's not going to be useful.
[0:06:25]  So in Python, if you want CSV support, you import CSV.
[0:06:29]  And that gives you access to all the magical capabilities thereof.
[0:06:32]  Let me now go ahead and use this technique
[0:06:34]  to open a file in Python, which is similar in C. But with Python,
[0:06:39]  I'm going to do this.
[0:06:40]  The keyword with, I'm going to open a file called favorites.csv,
[0:06:44]  which was the shorter name I gave it.
[0:06:46]  This is optional, but just for explicitness,
[0:06:48]  I'm going to open it in read mode explicitly, just like fopen took
[0:06:52]  a second argument as well.
[0:06:54]  And I'm going to name this file once opened, quite simply, file,
[0:06:56]  though I could call it anything I want.
[0:06:58]  And now it's just an open file.
[0:07:01]  So far as Python knows at this moment, it's just text.
[0:07:04]  Or better yet, it's just zeros and ones.
[0:07:06]  If you want this Python package called CSV to actually do something useful
[0:07:11]  with it, you have to load this file now into the library.
[0:07:14]  And the simplest way to do this is to give myself
[0:07:17]  a variable called reader, because I want to read this file.
[0:07:19]  Though this, too, I could call anything else.
[0:07:22]  I'm going to then set that equal to the return value of a function called
[0:07:25]  csv.reader.
[0:07:27]  And I pass to that, per the documentation, the open file.
[0:07:30]  So step one, I open the file.
[0:07:32]  And this just gives me access to the bytes they're in.
[0:07:34]  Step two now, with csv.reader, tells the Python package called CSV
[0:07:39]  to do something useful with it and start analyzing the commas
[0:07:43]  and allow me to parse it further.
[0:07:46]  So let's go ahead and do this.
[0:07:47]  Let me go ahead now.
[0:07:48]  And within this loop, let's say this.
[0:07:52]  Sorry, within this open file, let's do this.
[0:07:54]  For every row, if you will, or line in the file, a.k.a.
[0:08:00]  reader, let's go ahead and print out just how about row bracket 1.
[0:08:07]  Now, what's going on here?
[0:08:08]  Well, it turns out if you read the documentation for the csv.reader
[0:08:11]  function, what it hands you back is essentially
[0:08:14]  this special object, so to speak, that allows
[0:08:17]  you to treat it as though it's just a really big list of lines
[0:08:21]  from the file, a.k.a.
[0:08:22]  reader.
[0:08:23]  So by saying for row in reader, this is a way more succinct way of saying,
[0:08:28]  give me the first line in the file, plus plus.
[0:08:31]  Give me the second line in the file, plus plus, and so forth.
[0:08:33]  That we would have done much more mechanically in C.
[0:08:36]  This is just much more Pythonic and English friendly, if you will.
[0:08:39]  So in every iteration of this loop, row is
[0:08:43]  going to contain all of the data from the current row.
[0:08:45]  But better yet, what the reader function does for me is it hands me each row,
[0:08:50]  not just as a big string or stir of text in Python.
[0:08:54]  It gives me what, apparently, based on the syntax on line 6?
[0:08:59]  Any instinct?
[0:08:59]  Yeah.
[0:09:01]  It's giving me back indeed a list.
[0:09:02]  And I presume the visual clue for you was the fact
[0:09:05]  that we're using square brackets here.
[0:09:06]  And indeed, row bracket 1 is going to be not the first,
[0:09:10]  but the second element in that list.
[0:09:12]  And so just take a guess.
[0:09:13]  When I run this code in a moment, what's going to get printed?
[0:09:16]  The timestamp, the language, or the problem?
[0:09:23]  Yeah.
[0:09:24]  The language.
[0:09:25]  Because it's the second column that is in the file,
[0:09:28]  delimited by those commas.
[0:09:30]  So let me go ahead and do this.
[0:09:31]  Let me clear my terminal down here.
[0:09:33]  Let me run Python of favorites.py and enter.
[0:09:36]  And there's everything.
[0:09:37]  It was super fast, but there's a really long list here.
[0:09:39]  And in fact, if I increase the size of my terminal and start scrolling up,
[0:09:43]  you'll just see all of the raw data.
[0:09:45]  Now, this isn't that useful yet.
[0:09:46]  I could have just glanced at the CSV, but clearly now I
[0:09:49]  have the ability to open the file, parse it, so to speak.
[0:09:52]  That is, break it up into its constituent parts
[0:09:55]  and do something with specific parts therein.
[0:09:59]  All right, so if I want to do this a little more pleasantly,
[0:10:01]  though, let me at least make this semantically a little cleaner.
[0:10:04]  And you know what, just for clarity, let me just give myself a variable.
[0:10:07]  It's not strictly necessary, but I know that this
[0:10:11]  is the favorite, for instance, language.
[0:10:15]  So let's just call it favorite, set it equal to row, bracket 1.
[0:10:18]  And now just to be more explicit in my code,
[0:10:21]  even though, again, we don't need the variable per se,
[0:10:23]  this code's, of course, going to do the same thing.
[0:10:25]  It's just using an additional variable called favorite.
[0:10:27]  If I go down here, scroll up, run the program again,
[0:10:30]  I get back the exact same data.
[0:10:32]  But this is a stepping stone to something that's even more powerful
[0:10:36]  about Python support for CSV files is that you don't have to just treat
[0:10:40]  the return value as a list with 0 and 1 and 2.
[0:10:46]  So just thinking intuitively here, why is this maybe not the best design
[0:10:50]  to hand you, the programmer, back the data in a list that's numerically
[0:10:55]  indexed with 0, 1, 2?
[0:10:58]  It clearly works, but critique this.
[0:11:02]  What could go wrong?
[0:11:03]  What's a little poorly designed?
[0:11:05]  Yeah, yeah, exactly.
[0:11:14]  So yeah, so it's up to you to repeat.
[0:11:17]  It's up to you to remember what column the data is actually in.
[0:11:20]  And God forbid you're collaborating with someone else on the spreadsheet.
[0:11:24]  If you've used Google Spreadsheets, you can move columns around.
[0:11:27]  Maybe just because you want to visually reorganize things.
[0:11:29]  And if you do this, and then someone else downloads that same data,
[0:11:32]  all of their code is going to break.
[0:11:34]  So that's just really bad design.
[0:11:35]  It's fragile, just because you're sort of on the honor system
[0:11:38]  that one means the data that you want.
[0:11:40]  So wouldn't it be nice if we could be a little more explicit?
[0:11:43]  Well, recall that the very first line in this file is actually this.
[0:11:49]  And I paused the output this time so that we can see more optionally.
[0:11:53]  I just reran favorites.py, and notice one of these things is not like the other.
[0:11:57]  Every output was either Scratch or C or Python, except for this first one.
[0:12:01]  Why am I seeing the word language here?
[0:12:06]  Where did language come from?
[0:12:08]  You didn't have the ability to manual input.
[0:12:10]  No?
[0:12:12]  Where did it come from?
[0:12:12]  Yeah.
[0:12:14]  Yeah, the header, the very first row in the file, which by human convention
[0:12:17]  generally just defines what the columns represent so that there's
[0:12:20]  some human useful information there.
[0:12:22]  Now, that's not really intended to be part of my output at the moment.
[0:12:26]  So there is a way to skip this.
[0:12:28]  If you want to skip the first row, you can actually do something like this.
[0:12:31]  You can say next row.
[0:12:33]  And that will just ignore that row so that I'm starting really
[0:12:36]  with every row thereafter.
[0:12:38]  But there's a better way to handle this than that.
[0:12:40]  That will get rid of the row in the output.
[0:12:42]  But let me go ahead and use a different feature of the CSV package
[0:12:45]  that's just going to make this a little cleaner altogether.
[0:12:47]  So let me clear my terminal window here.
[0:12:49]  Let me undo this next thing that I just added.
[0:12:52]  And instead of using a reader, let me go ahead and use a dictionary reader,
[0:12:57]  abbreviated dict reader, that's going to now return me
[0:13:01]  the equivalent of all of the rows, one at a time.
[0:13:04]  So I can still call it reader, just as before.
[0:13:07]  But as the name implies, what this reader is going to return
[0:13:10]  is not a list after list after list, but a dictionary, a dictionary,
[0:13:15]  a dictionary.
[0:13:15]  And remember, a dictionary is just a collection of key value pairs.
[0:13:18]  So what does that mean?
[0:13:20]  What are the keys?
[0:13:20]  What are the values?
[0:13:22]  Well, now that I'm using a dictionary reader, I can actually do this.
[0:13:25]  Instead of sort of on the honor system remembering that I want column one,
[0:13:29]  I can treat row now not as a list, but as a dictionary.
[0:13:33]  And that means I can go in here and say, quote unquote, language.
[0:13:36]  And we saw that back in week six.
[0:13:38]  Python allows you to index into dictionaries
[0:13:41]  using square bracket notation in strings or stirs on the inside,
[0:13:45]  just like lists allow for numbers.
[0:13:47]  But this now, I think, is going to be a little more robust.
[0:13:50]  If I run this again, python of favorites.py, all of that worked out fine.
[0:13:55]  And let me pause the output, too, by using this program called more.
[0:13:59]  Now, I don't even see the header.
[0:14:01]  So now, whoever works it with Python wrote the code for this package
[0:14:06]  to just analyze that first line of code, use the header,
[0:14:09]  as you just called it, as the keys.
[0:14:11]  And then every time you iterate through this loop,
[0:14:13]  it updates the values, the values, the values, but the keys stay the same.
[0:14:18]  Any questions, then, on this technique?
[0:14:22]  If I said to say, this would be painful in C. Yes.
[0:14:36]  Exactly.
[0:14:36]  So the keys are always going to be, quote unquote,
[0:14:38]  timestamp, language, and problem.
[0:14:42]  But on each iteration of this loop here, the row
[0:14:45]  is going to contain a different row of values, different row of values,
[0:14:49]  different row of values.
[0:14:50]  So you're going to get back one dictionary for every student who
[0:14:53]  submitted the Google Form, if you will, while iterating through it there.
[0:14:56]  All right, so once we have this ability here,
[0:14:59]  why don't we go ahead and transition to, how about not just
[0:15:04]  using that dictionary reader, which makes the code a little more robust?
[0:15:08]  Because now, if you move the columns around, no big deal.
[0:15:10]  It doesn't matter if the numeric indices change.
[0:15:13]  You can still use those keywords instead.
[0:15:16]  But let's actually analyze the data now.
[0:15:17]  I'm just spitting it out, which is not solving any problems for anyone.
[0:15:21]  So let's go ahead and count the popularity of Scratch, C, and Python,
[0:15:25]  and see what everyone's been thinking here.
[0:15:28]  All right, so how might I do this?
[0:15:30]  Well, let me go ahead and do this up here.
[0:15:32]  Before I start iterating, let me give myself, let's say, three variables.
[0:15:36]  And to keep things simple, I'll say one variable called Scratch,
[0:15:39]  set it equal to 0 for 0 students so far.
[0:15:42]  C is going to equal 0, and Python is going to equal 0.
[0:15:46]  There's a slightly prettier way of doing this,
[0:15:48]  just because this is like three lines of code to do something very simple.
[0:15:51]  You could alternatively, in Python, but not C,
[0:15:55]  do Scratch, C, Python equals 0, 0.
[0:16:01]  So kind of slightly more elegant, just to fit it all onto one line.
[0:16:04]  But now let's just do something more interesting.
[0:16:06]  On line seven, I'm still going to figure out
[0:16:08]  what the current favorite language is.
[0:16:10]  And now I'm just going to do some conditional checks.
[0:16:14]  How about if that favorite equals equals, quote unquote, Scratch?
[0:16:19]  Let's go ahead and increment Scratch by 1.
[0:16:22]  We can't do plus plus in Python, but we can do plus equals 1.
[0:16:26]  How about l if favorite equals equals C?
[0:16:29]  Then let's do C plus equals 1.
[0:16:33]  We could do else.
[0:16:34]  This is actually a good design question.
[0:16:36]  Should I do else?
[0:16:37]  Should I do l if?
[0:16:39]  Any instincts here?
[0:16:41]  Yeah.
[0:16:49]  Yeah, really good instincts.
[0:16:50]  Just in case someone goes and adds another language to the form next week,
[0:16:53]  because we're obviously going to introduce another language today.
[0:16:55]  You don't want your code to now artificially inflate
[0:16:58]  the scores for Python just because you're conflating
[0:17:01]  multiple languages together.
[0:17:02]  So the more defensive, sort of better way to write this code, I agree,
[0:17:06]  would be l if favorite equals equals Python.
[0:17:10]  Then let's go ahead and increment Python plus equals 1.
[0:17:13]  And if there's a new language next week,
[0:17:15]  we're obviously going to have to update the code.
[0:17:16]  But at least we're not miscounting.
[0:17:18]  We're just missing the new language.
[0:17:19]  So I think that's slightly more robust.
[0:17:21]  All right, now at the very bottom of this program and outside of the loop,
[0:17:24]  when I'm all done counting, let me go ahead and print out using some F
[0:17:28]  strings how about the total number of people whose favorite is scratch.
[0:17:34]  So this is just week six F string syntax.
[0:17:37]  Let me go ahead and print out another F string for C.
[0:17:40]  And I'm, of course, putting the variables in curly braces, all lowercase,
[0:17:44]  but the English words I'm doing capitalization for.
[0:17:47]  Let's do a final one with F, Python, colon, and then in curly braces,
[0:17:51]  Python, close quote.
[0:17:53]  And I think I'm done.
[0:17:54]  So let me just hide my terminal for a second.
[0:17:56]  Here's the total program, same stuff as before, open favorites.csv,
[0:18:01]  open it further with the dictionary reader to do that processing for us,
[0:18:05]  initialize three variables to 0 just so we have something to count with,
[0:18:08]  and then iterate over the file row by row.
[0:18:11]  And this is just some sort of week one style conditional logic,
[0:18:14]  albeit in Python, counting things.
[0:18:17]  All right, so how can we now execute this?
[0:18:19]  Let me go back to my terminal, Python of favorites.py.
[0:18:23]  And here we go.
[0:18:24]  As of today, everyone who's reporting in live via the Google form,
[0:18:28]  their favorite languages are interesting.
[0:18:33]  That's pretty interesting, too, after just one week of Python, no less.
[0:18:37]  But Scratch is a healthy contender there, a lot of C. So a pretty good mix here.
[0:18:40]  So is this going to be the best way to write this program long term?
[0:18:45]  Well, as you noted, if there's a new language next week, this week,
[0:18:48]  we're going to have to constantly update this.
[0:18:50]  And here's where you should let your mind wander to the future.
[0:18:54]  If we have a fourth language, fifth language, sixth, seventh, eighth,
[0:18:57]  which aspect here might kind of have some code smell to it?
[0:19:01]  Like, this probably isn't the best design to set us up for the future.
[0:19:06]  What might be better than this?
[0:19:09]  Yeah?
[0:19:12]  Yeah, we have to keep adding a language to line five.
[0:19:14]  And OK, not a big deal.
[0:19:15]  We could add like SQL today and maybe JavaScript next week.
[0:19:19]  But you know, any time a line of code, a line of logic,
[0:19:21]  it's just going to kind of grow out of control.
[0:19:23]  And we've had this chat a couple of times with different syntax.
[0:19:26]  There's probably a better way than that.
[0:19:28]  So let's do that.
[0:19:29]  Instead of using these individual variables, we could maybe use a list.
[0:19:33]  But a list would be a little confusing because like, what does bracket zero
[0:19:37]  mean, what is bracket one, bracket two?
[0:19:39]  But a dictionary, recall, is like this Swiss army knife of data structures
[0:19:43]  whereby you can associate anything with anything else, keys with values.
[0:19:47]  So I dare say a cleaner way to solve this problem that sets us up
[0:19:50]  for less work or confusion later would be to create like a new variable called
[0:19:54]  counts, if that's what we're doing, counting things up,
[0:19:57]  and just set it equal to an empty dictionary.
[0:20:00]  And you can literally say dict with the open parentheses,
[0:20:03]  closed parentheses, and nothing.
[0:20:04]  Or the more Pythonic, just use open and closed curly braces
[0:20:08]  with nothing inside.
[0:20:09]  That gives me an empty dictionary just like square brackets gives me a list.
[0:20:13]  Now, my logic down here has to change a little bit.
[0:20:16]  But what's nice is I don't need one conditional for every language.
[0:20:21]  Because again, if we have a fourth, a fifth, a sixth,
[0:20:23]  that chunk of code is also going to grow a bit out of control too.
[0:20:27]  So I can get rid of this here.
[0:20:29]  And what I think I'm going to do is say this.
[0:20:31]  Whatever the current favorite is from the current row in the file,
[0:20:35]  why don't we go into our counts variable at that key.
[0:20:40]  And again, favorite is a variable.
[0:20:42]  It's not quote unquote favorite.
[0:20:44]  It's going to be scratch, or C, or Python.
[0:20:47]  And then why don't we go ahead and just increment
[0:20:49]  whatever the value of that count is at that key.
[0:20:54]  Now, this is technically buggy.
[0:20:55]  We're really close.
[0:20:56]  But there is a bug.
[0:20:59]  Does anyone want to conjecture what the bug is?
[0:21:02]  Yeah.
[0:21:10]  A good question that answers my question nonetheless.
[0:21:14]  So no, like the magic you describe will not happen.
[0:21:16]  And to repeat the hypothesis, will this automatically
[0:21:19]  create a key for every language that we try plugging
[0:21:25]  into those square brackets?
[0:21:26]  Short answer, no.
[0:21:27]  Odds are this is going to create a key error, one of those traceback error
[0:21:31]  messages that you've probably seen by now, either in class or in problem sets,
[0:21:34]  whereby if scratch hasn't appeared in the dictionary before, or C, or Python,
[0:21:39]  then the dictionary has no clue what you're talking about.
[0:21:42]  So I think we actually still need some conditional logic,
[0:21:45]  but not that's going to grow longer and longer with each language.
[0:21:48]  What I think we probably want to do is this.
[0:21:50]  If the current favorite is in the counts dictionary,
[0:21:55]  and this is the Pythonic way of just saying is this key in this dictionary,
[0:21:59]  then go ahead and safely do counts favorite plus equals 1.
[0:22:04]  Else, to your conjecture now, else what I want to do.
[0:22:07]  Counts favorite equals 1.
[0:22:12]  So initialize a brand new key to a brand new value of 1,
[0:22:16]  because I'm obviously just seeing this language.
[0:22:19]  Otherwise, increment again and again.
[0:22:21]  And now down here, I just need to tweak my syntax a little bit.
[0:22:25]  I don't need to print out all of these things one at a time manually.
[0:22:29]  I can actually get away, I think, with another loop at the very bottom here.
[0:22:33]  So how about I do this.
[0:22:34]  For each favorite in those counts, and this is, again, the Pythonic way
[0:22:38]  to iterate over all of the keys in a dictionary,
[0:22:42]  go ahead and print out, using an F string, whatever the current favorite is,
[0:22:47]  Scratch, or C, or Python, and then a colon,
[0:22:51]  and then figure out what its count is.
[0:22:54]  And you can do that by going into the counts dictionary,
[0:22:57]  looking at the favorite key, and get back its value.
[0:23:01]  So I close my curly braces, I close my quotes.
[0:23:03]  And even though this looks ugly at the moment,
[0:23:05]  now this is much more dynamic.
[0:23:07]  Because if we go and add SQL to the CSV file tomorrow,
[0:23:10]  or we add JavaScript next week, this will just work.
[0:23:13]  It will keep working now automatically.
[0:23:15]  All I change is the Google form, not my actual code.
[0:23:17]  All right, let's try Python of favorites.py.
[0:23:20]  Cross my fingers, as always.
[0:23:21]  And there now is the data as of now.
[0:23:25]  Questions on this code here?
[0:23:27]  Yeah?
[0:23:31]  Really good question.
[0:23:32]  What if you wanted to print it in a particular order?
[0:23:35]  Well, I could give you a couple of solutions.
[0:23:37]  Like if you want to print it out in, it's already
[0:23:40]  coincidentally in alphabetical order.
[0:23:43]  So you got that for free, although that's just by chance here.
[0:23:46]  But there is a way to do this.
[0:23:47]  And let me propose that we go down here to my loop.
[0:23:49]  And I explicitly use a function you might not have seen in Python yet,
[0:23:52]  but it's literally called sorted, which is going to take either a list,
[0:23:55]  or in this case, a dictionary, and by default, sort it by key alphabetically.
[0:24:00]  Now, if my intuition is correct, this is not
[0:24:03]  going to change the output, because it's already alphabetical.
[0:24:06]  But if you read the documentation for the sorted function,
[0:24:08]  it takes multiple parameters, potentially, some of which
[0:24:11]  are named parameters.
[0:24:12]  And so you can actually do this.
[0:24:14]  If you want to sort the count, but you want to reverse the order for whatever
[0:24:17]  reason here so that it's reverse alphabetical order,
[0:24:20]  now let me go ahead and rerun this.
[0:24:22]  And I'll keep the previous output on the screen.
[0:24:24]  Enter.
[0:24:24]  And now it's backwards alphabetically, if you will.
[0:24:29]  Other questions on this here?
[0:24:34]  No?
[0:24:34]  How about then?
[0:24:36]  How about then we transition to sorting by value?
[0:24:42]  And this is going to escalate a little quickly, briefly,
[0:24:45]  but then we'll tone it down again.
[0:24:47]  Notice that right now, this is indeed sorting by key.
[0:24:50]  What if, especially if I have lots of data,
[0:24:51]  it'd be nice to make a top 10 list, or in this case, a top 3 list,
[0:24:55]  and actually see in order of the counts, the values,
[0:24:59]  what these popular ones are.
[0:25:01]  So it's not C, Python, Scratch.
[0:25:03]  It should ideally be Python, then C, then Scratch,
[0:25:06]  because of the values and the magnitude thereof.
[0:25:09]  So how can I do this?
[0:25:10]  Well, it turns out there's another key, another parameter
[0:25:14]  that you can pass to the sorted function that is typically
[0:25:18]  implemented as a function itself.
[0:25:20]  And so I'm going to go ahead and do this.
[0:25:22]  I'm going to temporarily define a function called getValue,
[0:25:25]  just to make my life easier.
[0:25:26]  And this getValue function is going to take, I'll say, a language parameter.
[0:25:32]  And then all I'm going to do is return whatever
[0:25:35]  the count is of that language.
[0:25:37]  So out of context, this is just a super simple function
[0:25:40]  that you hand in a language, like Scratch or C or Python.
[0:25:43]  It's just going to tell you what the count is thereof
[0:25:46]  in that dictionary called counts.
[0:25:49]  But what I can do now down here in my newly introduced call to sorted
[0:25:53]  is I can tell it what to use as its key.
[0:25:56]  Instead of using literally the key, Scratch, C, Python,
[0:26:00]  I can sort of override that behavior and say, you know what?
[0:26:03]  To figure out what to sort by, go ahead and call this function called
[0:26:08]  getValue.
[0:26:10]  Notice that I have not put parentheses after getValue,
[0:26:13]  because I don't want to call getValue right then and there.
[0:26:17]  I want to pass the getValue function as itself in argument
[0:26:22]  to the sorted function so that the sorted function, written years ago
[0:26:25]  by the people at Python, can call my version of getValue again and again
[0:26:29]  when they try to sort this actual data.
[0:26:32]  So now if I add that and I leave reverse equals true, let's see what happens.
[0:26:38]  Python of favorites.py, Enter.
[0:26:40]  And now I get my top 10, or in this case, top three list.
[0:26:44]  And if I had more sophisticated data with more columns altogether
[0:26:47]  that I actually care about, I could even sort this more powerfully as well.
[0:26:52]  But let me clean this up a little bit just so you've seen it,
[0:26:55]  even though we won't use these that often in CS50,
[0:26:58]  until the end of the class will they come up again.
[0:27:00]  Technically, this is a little bit, this isn't necessarily
[0:27:03]  the best design to spend all this time implementing a function
[0:27:06]  and then only use it in one place.
[0:27:08]  In general, we've argued that you don't necessarily
[0:27:11]  need a variable if you're only going to use it in one place.
[0:27:14]  You don't really need a function if you're only going to use it in one place.
[0:27:16]  And here, we kind of have a good candidate for that.
[0:27:19]  And so it turns out in Python, if you don't
[0:27:21]  want to bother creating a function just to use it once,
[0:27:25]  you can create what's called an anonymous function,
[0:27:28]  AKA a lambda function, like the lambda symbol familiar.
[0:27:32]  And a lambda function, the syntax is a little strange looking,
[0:27:35]  but you say this.
[0:27:36]  You literally say lambda.
[0:27:38]  You literally then say the name of the argument
[0:27:40]  that you want this anonymous function with no name to take.
[0:27:44]  Then you have a colon, and then quite simply,
[0:27:48]  you write what you want the return value of this function to be.
[0:27:52]  You don't even say return literally.
[0:27:54]  These lambda functions are meant to be used super tersely
[0:27:57]  so that you can, in one line, express something like this.
[0:28:03]  And I admit this looks more cryptic, I think, than the previous version.
[0:28:06]  But as you get more comfortable with Python or other languages that
[0:28:08]  support this feature, it allows you to not bother with lines of code like that
[0:28:12]  and just tighten up your code a little bit.
[0:28:14]  So this line here, lambda, language, colon counts language,
[0:28:19]  is the one line version of this.
[0:28:21]  And you don't even need to bother picking a name for it.
[0:28:23]  Lambda tells Python, I didn't waste any time
[0:28:26]  thinking of a name for this function.
